ticker,date,signal,category,price,sector,ret_1d,ret_2d,ret_3d,ret_5d,ret_7d,ret_14d,ret_30d,ret_60d,ret_intraday
SCMA,2024-10-30,Volume Spike Sideways,Akumulasi,459.2,Communication Services,-0.5792,0.2792,0.2792,-1.0084,-1.4376,-4.871,-7.4461,-18.6049,
SCMA,2024-10-30,Volume Meledak,Pre-ARA,459.2,Communication Services,-0.5792,0.2792,0.2792,-1.0084,-1.4376,-4.871,-7.4461,-18.6049,
SCMA,2024-11-13,RSI+BB Lower Bounce,Swing,443.56,Communication Services,-0.15,-0.15,-1.0311,-3.2337,-6.7579,-4.1148,-8.52,-16.009,
SCMA,2024-11-20,RSI+BB Lower Bounce,Swing,435.75,Communication Services,-3.3318,-3.7864,-3.7864,-1.0591,-0.6045,-1.9682,-6.9682,-16.0591,
SCMA,2024-11-21,Volume Spike Sideways,Akumulasi,429.89,Communication Services,-0.6195,-0.6195,0.789,3.1364,2.6669,1.2584,-3.9059,-14.704,
SCMA,2024-11-21,Volume Meledak,Pre-ARA,429.89,Communication Services,-0.6195,-0.6195,0.789,3.1364,2.6669,1.2584,-3.9059,-14.704,
SCMA,2024-11-22,Stochastic Deeply Oversold,Scalp,418.16,Communication Services,-0.15,1.2651,2.6802,3.1519,2.6802,1.7368,-3.4519,-10.9991,
SCMA,2024-11-28,RSI+BB Lower Bounce,Swing,418.16,Communication Services,0.7674,0.3087,0.3087,-0.15,-1.0674,-2.9023,-11.1592,-15.2876,
SCMA,2024-11-28,Akumulasi Tersembunyi,Pre-ARA,418.16,Communication Services,0.7674,0.3087,0.3087,-0.15,-1.0674,-2.9023,-11.1592,-15.2876,
SCMA,2024-11-29,RSI Recovery + 2 Candle Hijau,Swing,431.84,Communication Services,-0.6045,-0.6045,-1.0591,-1.9682,-1.9682,-6.9682,-12.8773,-16.5136,
SCMA,2024-12-04,RSI Recovery Diam-diam,Pre-ARA,425.98,Communication Services,-0.15,-1.0674,-1.0674,-1.0674,-1.0674,-5.1959,-10.7005,-14.3702,
SCMA,2024-12-05,RSI+BB Lower Bounce,Swing,425.98,Communication Services,-1.0674,-1.0674,-1.0674,-1.0674,-1.9849,-5.1959,-10.7005,-15.2876,
SCMA,2024-12-05,MACD Crossover Bullish,Swing,425.98,Communication Services,-1.0674,-1.0674,-1.0674,-1.0674,-1.9849,-5.1959,-10.7005,-15.2876,
SCMA,2024-12-09,RSI-9 Pullback ke EMA5,Scalp,422.07,Communication Services,-0.15,-0.15,-0.15,-1.0759,-2.0019,-3.8537,-11.2611,-14.9648,
SCMA,2024-12-11,Candle Compression,Pre-ARA,422.07,Communication Services,-0.15,-0.15,-1.0759,-2.0019,-5.2426,-4.7796,-10.3352,-15.4278,
SCMA,2024-12-12,RSI+BB Lower Bounce,Swing,420.11,Communication Services,-0.15,-1.0759,-2.9278,-5.2426,-4.3167,-5.2426,-12.187,-16.3537,
SCMA,2024-12-13,Stochastic Oversold + Naik,Scalp,422.07,Communication Services,-1.0759,-2.9278,-2.0019,-5.2426,-4.3167,-5.2426,-12.187,-17.7426,
SCMA,2024-12-16,RSI-9 Pullback ke EMA5,Scalp,418.16,Communication Services,-2.0192,-1.0846,-4.3556,-3.421,-3.421,-4.3556,-11.365,-16.9724,
SCMA,2024-12-17,Volume Meledak,Pre-ARA,418.16,Communication Services,0.8024,-2.531,-2.531,-1.5786,-1.1024,-2.531,-9.1976,-15.8643,
SCMA,2024-12-19,RSI+BB Lower Bounce,Swing,412.3,Communication Services,-0.15,0.8256,0.8256,1.3134,1.3134,-7.9549,-7.4671,-16.2476,
SCMA,2024-12-20,Stochastic Deeply Oversold,Scalp,406.44,Communication Services,0.8256,0.8256,0.8256,1.3134,0.3378,-5.5158,-7.9549,-16.2476,
SCMA,2024-12-20,Volume Spike Sideways,Akumulasi,406.44,Communication Services,0.8256,0.8256,0.8256,1.3134,0.3378,-5.5158,-7.9549,-16.2476,
SCMA,2024-12-23,RSI-9 Pullback ke EMA5,Scalp,406.44,Communication Services,-0.15,-0.15,0.3331,0.3331,-1.1162,-7.3964,-8.3626,-15.1258,
SCMA,2024-12-24,Stochastic Oversold + Naik,Scalp,406.44,Communication Services,-0.15,0.3331,0.3331,-0.6331,-1.1162,-7.3964,-6.9133,-13.6766,
SCMA,2024-12-30,RSI+BB Lower Bounce,Swing,404.48,Communication Services,-0.15,-0.15,-1.1115,-1.5923,-1.5923,-6.4,-8.3231,-17.9385,
SCMA,2025-01-06,MACD Crossover Bullish,Swing,404.48,Communication Services,-0.6354,-0.6354,-0.6354,-3.0626,-5.9752,-6.9461,-7.917,-15.684,
SCMA,2025-01-06,RSI Recovery Diam-diam,Pre-ARA,404.48,Communication Services,-0.6354,-0.6354,-0.6354,-3.0626,-5.9752,-6.9461,-7.917,-15.684,
SCMA,2025-01-07,RSI-9 Pullback ke EMA5,Scalp,402.53,Communication Services,-0.15,-0.15,-0.15,-7.9549,-6.4915,-6.0037,-7.9549,-12.7755,
SCMA,2025-01-08,RSI+BB Lower Bounce,Swing,402.53,Communication Services,-0.15,-0.15,-2.589,-5.5158,-6.4915,-5.5158,-9.9061,-13.7741,
SCMA,2025-01-08,Stochastic Deeply Oversold,Scalp,402.53,Communication Services,-0.15,-0.15,-2.589,-5.5158,-6.4915,-5.5158,-9.9061,-13.7741,
SCMA,2025-01-14,RSI-9 Pullback ke EMA5,Scalp,390.8,Communication Services,2.4955,1.4373,1.4373,3.0246,2.4955,0.9082,-3.3246,-7.0034,
SCMA,2025-01-15,RSI+BB Lower Bounce,Swing,369.31,Communication Services,-1.1809,-1.1809,-0.15,0.3655,-1.1809,-0.6655,-4.7892,-6.2385,
SCMA,2025-01-15,Stochastic Deeply Oversold,Scalp,369.31,Communication Services,-1.1809,-1.1809,-0.15,0.3655,-1.1809,-0.6655,-4.7892,-6.2385,
SCMA,2025-01-21,Akumulasi Tersembunyi,Pre-ARA,381.03,Communication Services,-0.15,-0.6628,-1.6885,-0.6628,-2.7141,-1.1756,-4.2526,-5.6704,
SCMA,2025-01-22,RSI+BB Lower Bounce,Swing,381.03,Communication Services,-0.6628,-1.6885,-1.1756,-2.7141,-2.7141,-2.2013,-5.2782,-5.6704,
SCMA,2025-01-22,RSI Recovery + 2 Candle Hijau,Swing,381.03,Communication Services,-0.6628,-1.6885,-1.1756,-2.7141,-2.7141,-2.2013,-5.2782,-5.6704,
SCMA,2025-01-22,Volume Spike Sideways,Akumulasi,381.03,Communication Services,-0.6628,-1.6885,-1.1756,-2.7141,-2.7141,-2.2013,-5.2782,-5.6704,
SCMA,2025-01-24,RSI-9 Pullback ke EMA5,Scalp,379.08,Communication Services,0.3708,0.8917,-1.1917,-1.1917,0.3708,-0.6708,-4.3167,-4.7272,
SCMA,2025-01-31,MACD Crossover Bullish,Swing,379.08,Communication Services,-2.2119,-2.2119,-2.2119,-0.6655,-2.7273,-2.2119,-5.8201,-5.1834,
SCMA,2025-01-31,RSI Recovery Diam-diam,Pre-ARA,379.08,Communication Services,-2.2119,-2.2119,-2.2119,-0.6655,-2.7273,-2.2119,-5.8201,-5.1834,
SCMA,2025-02-03,RSI+BB Lower Bounce,Swing,379.08,Communication Services,-0.15,-0.15,0.3763,-0.15,-0.15,-0.6763,-4.8868,-3.7228,
SCMA,2025-02-03,RSI Recovery + 2 Candle Hijau,Swing,379.08,Communication Services,-0.15,-0.15,0.3763,-0.15,-0.15,-0.6763,-4.8868,-3.7228,
SCMA,2025-02-05,RSI-9 Pullback ke EMA5,Scalp,371.26,Communication Services,0.3763,1.4289,-0.15,-0.15,0.3763,-4.3605,-6.4658,-2.6454,
SCMA,2025-02-05,Volume Meledak,Pre-ARA,371.26,Communication Services,0.3763,1.4289,-0.15,-0.15,0.3763,-4.3605,-6.4658,-2.6454,
SCMA,2025-02-10,RSI+BB Lower Bounce,Swing,373.22,Communication Services,-0.6763,-0.15,1.4289,0.3763,-1.2026,-3.8342,-9.6237,-3.1841,
SCMA,2025-02-10,RSI Recovery + 2 Candle Hijau,Swing,373.22,Communication Services,-0.6763,-0.15,1.4289,0.3763,-1.2026,-3.8342,-9.6237,-3.1841,
SCMA,2025-02-10,Volume Spike Sideways,Akumulasi,373.22,Communication Services,-0.6763,-0.15,1.4289,0.3763,-1.2026,-3.8342,-9.6237,-3.1841,
SCMA,2025-02-12,RSI-9 Pullback ke EMA5,Scalp,371.26,Communication Services,1.4289,0.3763,0.3763,-1.2026,-0.6763,-3.3079,-7.5184,-8.5711,
SCMA,2025-02-14,Volume Avg Naik Terkontrol,Akumulasi,377.13,Communication Services,-0.15,-0.15,-1.7207,-1.1971,-4.862,-4.3385,-10.0976,-9.5864,
SCMA,2025-02-14,RSI Recovery Diam-diam,Pre-ARA,377.13,Communication Services,-0.15,-0.15,-1.7207,-1.1971,-4.862,-4.3385,-10.0976,-9.5864,
SCMA,2025-02-17,RSI+BB Lower Bounce,Swing,373.22,Communication Services,-0.15,-1.7207,-0.6736,-3.2914,-1.1971,-2.2442,-10.6212,-8.5146,
SCMA,2025-02-20,RSI-9 Pullback ke EMA5,Scalp,371.26,Communication Services,-0.6763,-2.7816,-4.3605,-1.2026,-2.7816,-3.3079,-8.5711,-8.5711,
SCMA,2025-02-24,RSI+BB Lower Bounce,Swing,367.36,Communication Services,-1.7716,2.0122,1.4716,-0.15,-1.2311,-1.2311,-4.4362,-6.0959,
SCMA,2025-02-26,Stochastic Deeply Oversold,Scalp,355.63,Communication Services,-0.6791,-3.3246,-2.2664,-3.3246,-1.2082,-5.9701,-9.7112,-9.7112,
SCMA,2025-02-27,MACD Crossover Bullish,Swing,369.31,Communication Services,-2.8096,-1.7457,-2.2777,-2.8096,-1.7457,-5.4691,-7.5968,-9.7745,
SCMA,2025-02-27,Volume Meledak,Pre-ARA,369.31,Communication Services,-2.8096,-1.7457,-2.2777,-2.8096,-1.7457,-5.4691,-7.5968,-9.7745,
SCMA,2025-02-28,Volume Spike Sideways,Akumulasi,365.4,Communication Services,0.9429,0.3964,-0.15,2.0358,0.3964,-3.4287,-3.9494,-7.3053,
SCMA,2025-02-28,Akumulasi Tersembunyi,Pre-ARA,365.4,Communication Services,0.9429,0.3964,-0.15,2.0358,0.3964,-3.4287,-3.9494,-7.3053,
SCMA,2025-03-03,RSI+BB Lower Bounce,Swing,357.59,Communication Services,-0.6905,-1.2311,-1.2311,-0.15,-0.6905,-6.0959,-1.6699,-8.8622,
SCMA,2025-03-10,MACD Crossover Bullish,Swing,371.26,Communication Services,-0.6905,-0.6905,-1.2311,-2.3122,-3.9338,-7.177,-0.5634,-12.1818,
SCMA,2025-03-10,Volume Meledak,Pre-ARA,371.26,Communication Services,-0.6905,-0.6905,-1.2311,-2.3122,-3.9338,-7.177,-0.5634,-12.1818,
SCMA,2025-03-10,RSI Recovery Diam-diam,Pre-ARA,371.26,Communication Services,-0.6905,-0.6905,-1.2311,-2.3122,-3.9338,-7.177,-0.5634,-12.1818,
SCMA,2025-03-14,RSI+BB Lower Bounce,Swing,361.49,Communication Services,-1.2429,-2.8822,-2.8822,-5.068,-6.1609,-5.068,0.525,-10.1018,
SCMA,2025-03-14,Stochastic Deeply Oversold,Scalp,361.49,Communication Services,-1.2429,-2.8822,-2.8822,-5.068,-6.1609,-5.068,0.525,-10.1018,
SCMA,2025-03-18,RSI-9 Pullback ke EMA5,Scalp,353.68,Communication Services,-0.15,-0.7118,-2.3972,-3.5208,0.4118,-0.6721,2.778,-8.7224,
SCMA,2025-03-18,BSJP Beli Sore Jual Pagi,Intraday,347.82,Communication Services,-0.15,-0.7118,-2.3972,-3.5208,0.4118,-0.6721,2.778,-8.7224,-0.15
